table,column,rows,missing_count,missing_percentage
orders,order_delivered_customer_date,99441,2965,2.98
orders,order_delivered_carrier_date,99441,1783,1.79
orders,order_approved_at,99441,160,0.16
products,product_category_name,32951,610,1.85
products,product_name_lenght,32951,610,1.85
products,product_description_lenght,32951,610,1.85
products,product_photos_qty,32951,610,1.85
products,product_weight_g,32951,2,0.01
products,product_length_cm,32951,2,0.01
products,product_height_cm,32951,2,0.01
products,product_width_cm,32951,2,0.01
reviews,review_comment_title,99224,87656,88.34
reviews,review_comment_message,99224,58247,58.7
